Timestamp,Production_W,Consumption_W,Net_W,PanelTotal_W
2025-08-09 08:16:15,176,587,-411,175
2025-08-09 08:16:31,185,567,-382,175
2025-08-09 08:16:46,164,567,-404,176
2025-08-09 08:17:01,189,537,-348,176
2025-08-09 08:17:16,175,557,-381,176
2025-08-09 08:17:31,179,551,-371,176
2025-08-09 08:17:46,202,562,-360,176
2025-08-09 08:18:01,167,768,-601,176
2025-08-09 08:18:16,194,998,-805,177
2025-08-09 08:18:31,173,2347,-2174,177
2025-08-09 08:18:47,199,2250,-2052,177
2025-08-09 08:19:02,174,2231,-2057,178
2025-08-09 08:19:17,171,686,-515,178
2025-08-09 08:19:32,174,680,-505,182
2025-08-09 08:19:47,162,676,-514,182
2025-08-09 08:20:02,185,682,-498,183
2025-08-09 08:20:17,174,686,-512,183
2025-08-09 08:20:32,183,676,-493,183
2025-08-09 08:20:47,200,700,-499,184
2025-08-09 08:21:02,208,730,-522,184
2025-08-09 08:21:17,175,749,-574,186
2025-08-09 08:21:33,171,724,-553,186
2025-08-09 08:21:48,192,759,-567,187
2025-08-09 08:22:03,175,735,-560,187
2025-08-09 08:22:18,196,723,-527,187
2025-08-09 08:22:33,171,698,-527,187
2025-08-09 08:22:48,192,705,-513,188
2025-08-09 08:23:03,169,721,-552,188
2025-08-09 08:23:18,191,767,-575,189
2025-08-09 08:23:33,185,709,-524,189
2025-08-09 08:23:48,175,715,-541,189
2025-08-09 08:24:03,183,693,-510,189
2025-08-09 08:24:19,203,708,-506,190
2025-08-09 08:24:34,173,690,-516,190
2025-08-09 08:24:49,171,708,-537,191
2025-08-09 08:25:04,193,699,-506,191
2025-08-09 08:25:19,173,712,-539,191
2025-08-09 08:25:34,165,680,-516,191
2025-08-09 08:25:49,198,682,-484,191
2025-08-09 08:26:04,173,689,-516,191
2025-08-09 08:26:19,219,735,-516,192
2025-08-09 08:26:34,193,719,-527,192
2025-08-09 08:26:49,172,708,-536,192
2025-08-09 08:27:04,180,734,-554,192
2025-08-09 08:27:20,203,734,-532,192
2025-08-09 08:27:35,162,724,-563,192
2025-08-09 08:27:50,181,700,-520,192
2025-08-09 08:28:05,188,681,-493,192
2025-08-09 08:28:20,182,689,-507,192
2025-08-09 08:28:35,185,687,-503,192
2025-08-09 08:28:50,175,703,-528,192
2025-08-09 08:29:05,182,692,-510,192
2025-08-09 08:29:20,190,707,-517,192
